SesID,SesFld,Subject,Age,Gender,Handedness,Block,Report,TrialNum,TrialType,PreStim,StimL,StimR,Attention,PrestimResponse,PreStimEnd,PreStimTransient,StimResponse,Eye_slope,Eye_pval,Eye_meandiff,Eye_sumdiff,Eye_stddiff,mVel500,mVel1000
1,"NZ_part10",SP,19,f,R,3,none,1,5,2,1,2,exogenous,none,NaN,2,none,-0.189571536678318,0.00195641114617345,-0.00428101795165915,-0.248299041196231,0.160452398672274,-0.295284482239754,-0.174484499797246
1,"NZ_part10",SP,19,f,R,3,none,2,6,2,2,1,exogenous,none,NaN,2,none,0.0168621928951936,0.652332094425689,0.00066070253077087,0.0389814493154813,0.12303978511663,0.0379005313215564,0.0838981842028866
1,"NZ_part10",SP,19,f,R,3,none,3,8,2,2,2,exogenous,none,NaN,2,none,0.13981080304152,0.0280427759558851,-0.000640397736780866,-0.0371430687332902,0.191023739434521,0.19408010396418,0.0810034031089968
1,"NZ_part10",SP,19,f,R,3,none,4,6,2,2,1,exogenous,none,NaN,2,none,-0.0303833682964179,0.527576388299301,-0.00433092912799451,-0.255524818551676,0.125968886376435,-0.135620014361152,0.0382237141074696
1,"NZ_part10",SP,19,f,R,3,none,5,2,1,2,1,exogenous,none,NaN,1,none,0.0496304813428425,0.221861212964642,-0.000375006212330341,-0.0221253665274901,0.109486035203007,-0.0579462531305427,0.0499646740876481
1,"NZ_part10",SP,19,f,R,3,none,6,5,2,1,2,exogenous,none,NaN,2,none,0.00145674608825402,0.967813163368474,0.000800504805821108,0.0472297835434454,0.115877675662688,-0.0121658288653153,0.0484301810837106
1,"NZ_part10",SP,19,f,R,3,none,7,6,2,2,1,exogenous,none,NaN,2,none,0.139675771945651,0.00969573327207686,0.00262812719036622,0.131406359518311,0.178913075850554,0.117116512192878,0.118094455914703
1,"NZ_part10",SP,19,f,R,3,none,8,4,1,2,2,exogenous,none,NaN,1,none,-0.0807723478942357,0.0443392450519983,-0.000251915287173167,-0.0148630019432169,0.126628663082389,-0.142382553943386,-0.0593228812943853
1,"NZ_part10",SP,19,f,R,3,none,9,7,2,1,1,exogenous,none,NaN,2,none,0.0462930957210995,0.403608865117665,0.00467400286984018,0.275766169320571,0.178719927359909,0.0166779744455837,0.0362188908361053
1,"NZ_part10",SP,19,f,R,3,none,10,6,2,2,1,exogenous,none,NaN,2,none,-0.0553746401379149,0.21058737179061,-0.00584450727858295,-0.344825929436394,0.138988137210875,0.0212175601297052,-0.0459569483866532
1,"NZ_part10",SP,19,f,R,3,none,11,3,1,1,1,exogenous,none,NaN,1,none,-0.0332417073847017,0.26337571915708,0.000599307338380521,0.0353591329644507,0.0875848475833559,-0.00987113910351358,-0.108129136063568
1,"NZ_part10",SP,19,f,R,3,none,12,6,2,2,1,exogenous,none,NaN,2,none,-0.00737647760884213,0.926791818310396,-0.00146003046899834,-0.0715414929809185,0.188012693561794,0.235152055165539,0.134728477342212
1,"NZ_part10",SP,19,f,R,3,none,13,1,1,1,2,exogenous,none,NaN,1,none,0.0678137098588815,0.0646475975275385,-0.00374860126421717,-0.183681461946641,0.112638082010862,0.0647636478200144,0.0516044430650995
1,"NZ_part10",SP,19,f,R,3,none,14,2,1,2,1,exogenous,none,NaN,1,none,0.0904974225408052,0.00635272070389468,0.00132650189742365,0.0782636119479954,0.104618832503605,0.0507413028724738,0.0779695680428663
1,"NZ_part10",SP,19,f,R,3,none,15,6,2,2,1,exogenous,none,NaN,2,none,0.091559753210415,0.0311456170808555,-0.0014903704212487,-0.0730281506411865,0.131938678502604,-0.11827579864332,-0.0216309820056307
1,"NZ_part10",SP,19,f,R,3,none,16,1,1,1,2,exogenous,none,NaN,1,none,0.035992361288952,0.198208930551511,0.000844705990505075,0.0498376534397994,0.0819022681610362,0.0420972665487073,0.0617225586302117
1,"NZ_part10",SP,19,f,R,3,none,17,5,2,1,2,exogenous,none,NaN,2,none,-0.0640068332664757,0.0663512853203813,-0.00449555672169321,-0.265237846579899,0.10915717189202,0.00409563982105968,-0.0370912885631875
1,"NZ_part10",SP,19,f,R,3,none,18,6,2,2,1,exogenous,none,NaN,2,none,-0.0234953374490597,0.647408355487006,0.00225907985080369,0.133285711197418,0.165861541364854,0.0792150377938311,-0.0214017962804992
1,"NZ_part10",SP,19,f,R,3,none,19,1,1,1,2,exogenous,none,NaN,1,none,0.0623146682711466,0.0556327159417642,-0.00126614833199388,-0.0747027515876392,0.0919903375339074,0.259758874582299,0.0525769193234293
1,"NZ_part10",SP,19,f,R,3,none,20,1,1,1,2,exogenous,none,NaN,1,none,-0.0570564984643673,0.0594538749183149,0.00113552899468768,0.066996210686573,0.092649190118959,-0.0030621645598977,-0.0138751190577391
1,"NZ_part10",SP,19,f,R,3,none,21,6,2,2,1,exogenous,none,NaN,2,none,-0.0154274044421168,0.729190558744545,-0.00246994254761373,-0.14572661030921,0.126732926378328,-0.00950842360033758,-0.0896585442979712
1,"NZ_part10",SP,19,f,R,3,none,22,1,1,1,2,exogenous,none,NaN,1,none,-0.0608670681461187,0.157326763080177,-0.00125202497607386,-0.0738694735883576,0.143990083195158,-0.0820570507642932,-0.0628952602765125
1,"NZ_part10",SP,19,f,R,3,none,23,5,2,1,2,exogenous,none,NaN,2,none,0.0757136081777833,0.0962669779402123,0.00220405469624908,0.130039227078696,0.139342480572257,-0.174246541809876,-0.109273355532463
